2bwm 0.2-2
a52dec 0.7.4-9
aalib 1.4rc5-12
abcde 2.7.2-1
accountsservice 0.6.42-1
ack 2.14-1
acl 2.2.52-2
acpid 2.0.28-1
adobe-source-han-sans-cn-fonts 1.004-1
adwaita-icon-theme 3.20-2
aircrack-ng 1.2rc4-2
alsa-lib 1.1.2-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.2-1
anatine-bin 0.5.1-1
android-studio 2.1.2.0-1
android-tools 7.0.0_r1-1
android-udev 20160902-1
antu-icon-theme-git r1.96c6437-1
apache 2.4.23-1
apache-ant 1.9.7-1
apr 1.5.2-1
apr-util 1.5.4-2
archlinux-keyring 20160812-1
archupdate 1-2
arduide-git 0.r365.98c4511-1
aria2 1.27.1-1
asciidoc 8.6.9-3
aspell 0.60.6.1-5
at-spi2-atk 2.20.1-2
at-spi2-core 2.20.2-1
atk 2.20.0-1
atkmm 2.24.2-2
atom-editor-arch 1.8.0.arch0.6.1.sh0.37.3.t2.2.3-1
atool 0.39.0-4
attica-qt4 0.4.2-3
attica-qt5 5.26.0-1
attr 2.4.47-1
audiofile 0.3.6-3
augeas 1.5.0-1
aurvote 1.9-3
autoconf 2.69-4
autoconf-archive 1:2016.09.16-1
autoconf2.13 2.13-4
autogen 5.18.10-1
automake 1.15-2
automoc4 0.9.88-8
avahi 0.6.32-2
avidemux-cli 2.5.6-15
avidemux-gtk 2.5.6-15
avr-binutils 2.27-1
avr-gcc 6.2.0-1
avr-libc 2.0.0-1
avrdude 1:6.3-1
axel 2.11-1
b43-fwcutter 019-1
babl 0.1.18-1
bacula-common 7.4.3-1
baloo 5.26.0-1
baloo-widgets-git r417.7f94bb2-1
bamf 0.5.1-1
baobab 3.20.1-2
bash 4.3.046-1
bash-completion 2.4-1
bc 1.06.95-2
beets 1.3.19-1
bfg 1.12.12-1
binutils 2.27-1
bison 3.0.4-2
blackman 0.5.7.3-1
bleachbit 1.12-1
blockify 3.6.3-2
bluez 5.42-1
bluez-libs 5.42-1
bluez-qt 5.26.0-1
blur-effect 1.1.2-1
boinc 7.6.33-1
boinctui 2.4.2-1
boost 1.61.0-2
boost-libs 1.61.0-2
bower 1.7.9-1
brackets 1.7-1
breeze-icons 5.26.0-2
bridge-utils 1.5-2
brltty 5.4-2
bspwm 0.9.1-2
btrfs-progs 4.7.3-1
btsync 2.3.8-1
btsync-gui 0.8.5-2
bzip2 1.0.6-5
bzr 2.7.0-1
c-ares 1.12.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-3
ca-certificates-mozilla 3.26-1
ca-certificates-utils 20160507-1
cabextract 1.6-1
caffe-git rc3.r245.gb2982c7-1
cairo-infinality-ultimate 1.14.6-2
cairomm 1.12.0-2
calcurse 4.1.0-1
cantarell-fonts 1:0.0.25-2
cargo 0.13.0-1
caribou 0.4.21+0+g36e3d0f-1
cava 0.4.0-1
ccache 3.3.2-1
cclive 0.9.3-11
ccsm-git 0.8.12.3.r23.g9777458-1
cd-discid 1.4-1
cddb-py 1.4-7
cdparanoia 10.2-5
cdrkit 1.1.11-3
celt 0.11.3-2
celt0.5.1 0.5.1.3-3
ceph 10.2.2-2
cerbere-bzr r52-1
cgmanager 0.39-2
cheese 3.20.2-1
chmlib 0.40-4
chromaprint 1.3.2-1
chrome-gnome-shell-git 6.2_46_g221847f-1
chromium 53.0.2785.143-1
chrpath 0.16-1
cifs-utils 6.5-1
clamav 0.99.2-2
clang 3.8.1-1
cli-visualizer 1.2-3
clipster-git 0.158.120ef5c-1
cln 1.3.4-3
clonezilla 3.21.13-1
clucene 2.3.3.4-9
clutter 1.26.0-1
clutter-gst 3.0.20-1
clutter-gst2 2.0.18-1
clutter-gtk 1.8.0-1
cmake 3.6.2-1
cmark 0.26.1-1
cmatrix 1.2a-11
cmus 2.7.1-8
cogl 1.22.2-1
coin 3.1.3-15
colord 1.3.2-2
colord-gtk 0.1.26-2
compiz-core-git 0.8.12.3.r32.g3b3df20-1
compiz-gtk-git 0.8.12.3.r32.g3b3df20-1
compizconfig-python-git 0.8.12.1.r2.g3da499d-1
compositeproto 0.4.2-3
compton 0.1_beta2.5-3
confuse 2.8-2
conky 1.10.4-1
conky-manager 2.4-2
console-tdm-git 1:r16.ae3340f-1
convertlit 1.8-7
cool-retro-term-git 1.0.0.r51.g69d35a7-1
coreutils 8.25-2
cortex-git 58-1
cower 16-1
cowrie 1.0.0_alpha-1
cpio 2.12-3
cracklib 2.9.6-1
crypto++ 5.6.4-2
cryptsetup 1.7.2-1
cups 2.2.1-1
cups-filters 1.11.4-1
cups-pk-helper 0.2.6-1
curl 7.50.3-1
cutegram 2.7.1-3
cwm-git 20160402-1
cython 0.24.1-1
cython2 0.24.1-1
damageproto 1.2.1-3
dash 0.5.9-1
db 5.3.28-3
dbus 1.10.10-3
dbus-glib 0.106-1
dbus-sharp 0.8.1-1
dbus-sharp-glib 0.6.0-1
dcadec 0.2.0-1
dconf 0.26.0-2
dconf-editor 3.20.3-1
ddrescue 1.21-1
deadbeef 0.7.2-1
debtap 2.8-1
dee-ubuntu 1:1.2.7.15.04.20150304-2
deepdream-git r23.bbc2ddf-1
deepin-dbus-factory 3.0.6-1
deepin-icon-theme 15.12.32-1
deepin-mutter 3.20.5-1
deepin-nautilus-properties 3.14.3-1
deepin-qml-widgets 2.3.3-1
deepin-wm 1.1.2-1
depot-tools-git r3641.3574740-1
desktop-file-utils 0.23-1
device-mapper 2.02.166-1
devil 1.7.8-22
dhcpcd 6.11.3-1
dialog 1:1.3_20160828-1
diffutils 3.5-1
ding-libs 0.6.0-1
discord 0.1.5-3
djvulibre 3.5.27-3
dkms 2.2.0.3+git151023-12
dleyna-connector-dbus 0.2.0-2
dleyna-core 0.5.0-1
dleyna-renderer 0.5.0-1
dmenu 4.6-1
dmxproto 2.3.1-3
dnsmasq 2.76-2
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
docbook2x 0.8.8-15
docker 1:1.12.1-1
dolphin-emu-cli-git 5.0.r466.0fbf72c-1
dolphin-emu-git 5.0.r466.0fbf72c-1
dolphin-emu-qt-git 5.0.r466.0fbf72c-1
dolphin-git r5050.1bdebe6-1
dos2unix 7.3.4-1
dosfstools 4.0-3
dotconf 1.3-4
dotgit 1.2.3-1
dotnet-cli 1.0.0_preview2_003121-4
downgrade 5.3.0-1
downgrader 2.0.0-3
doxygen 1.8.12-1
dpkg 1.18.10-3
drbl 2.20.11-1
dropbox 6.4.14-1
dropbox-cli 2015.10.28-1
dunst 1.1.0-1
dvgrab 3.5-6
dzen2 0.9.5git-6
e2fsprogs 1.43.3-1
ebook-tools 0.2.2-3
ebtables 2.0.10_4-6
eclipse-common 4.6.1-1
eclipse-java 4.6.1-1
ecryptfs-utils 108-2
efibootmgr 13-1
efivar 27-1
electron 1.4.2-1
elfutils 0.167-1
elinks 0.13-17
emojione-color-font 1.2-1
empathy 3.12.12-1
enca 1.19-1
enchant 1.6.0-8
encryptpad-git v0.3.2.2.r20.g7d94c7e-1
enet 1.3.13-1
eog 3.20.4-1
epiphany 3.20.3-2
epydoc 3.0.1-3
eselect-git 813.1e4ac8e-1
espeak 1.48.04-2
etcher 1.0.0_beta.13-1
ethtool 1:4.6-1
evince 3.20.1-2
evolution-data-server 3.20.5-1
evopop-icon-theme 0.8-3
exempi 2.3.0-1
exiv2 0.25-3
exo 0.10.7-2
expac 7-1
expat 2.2.0-2
expect 5.45-4
extra-cmake-modules 5.26.0-1
f2fs-tools 1.6.1-1
faac 1.28-5
faad2 2.7-4
faenza-icon-theme 1.3.1-4
fakeroot 1.21-2
farstream 0.2.8-1
fbida 2.12-1
fcgi 2.4.0-12
feh 2.17-1
fetchmirrors 0.3-2
ffmpeg 1:3.1.4-2
ffmpeg0.10 0.10.16-2
ffmpeg2.8 2.8.7-4
fftw 3.3.5-1
file 5.28-1
file-roller 3.20.3-1
filesystem 2015.09-1
filezilla 3.22.1-1
finch 2.11.0-1
findutils 4.6.0-2
fira-code-git r144.b72a57f-1
firefox 49.0.1-1
fish 2.3.1-1
fixesproto 5.0-3
flac 1.3.1-3
flashplugin 11.2.202.635-1
flatabulous 15.04.1-3
flattr-icon-theme 1.3-2
flex 2.6.1-1
fluidsynth 1.1.6-4
folks 0.11.2-2
fontconfig-infinality-ultimate 2.11.95-4
fontforge 20161004-1
fontsproto 2.1.3-1
frameworkintegration 5.26.0-1
freecad 0.16-5
freeglut 3.0.0-1
freeimage 3.17.0-2
freetype2-infinality-ultimate 2.6.3-4
fribidi 0.19.7-1
